,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
0,digits,Net_2x16_hidden,0,2.97729100833334,1.0679622278853014,39.36111111111112,9.479078652420046,0.8388888888888889
1,digits,Net_2x16_hidden,2,1.7944973833333684,0.9981523453746448,47.25,12.821368881675625,0.8222222222222222
2,digits,Net_2x16_hidden,4,1.3576239855555488,0.819893840158211,60.1,7.034912934784623,0.9888888888888888
3,digits,Net_2x16_hidden,8,0.9727657872222254,0.2763712653979006,64.0,0.0,1.0
4,digits,Net_2x32_hidden,0,11.041980746666711,29.45285783694722,42.422222222222224,3.760844402163423,0.9944444444444444
5,digits,Net_2x32_hidden,2,3.9376109038889,2.3034470024905964,49.09444444444444,8.622771674932874,1.0
6,digits,Net_2x32_hidden,4,1.3999842694444549,1.2988169993538967,60.45555555555556,7.16807910284836,1.0
7,digits,Net_2x32_hidden,8,1.162222478333317,0.5515030079307033,60.42777777777778,6.3979428599750845,0.9888888888888888
8,digits,Net_3x16_hidden,0,4.359545994999158,1.7398224201701684,41.5,6.509394919823364,0.7722222222222223
9,digits,Net_3x16_hidden,2,1.621820349444978,1.0210771852373617,51.98888888888889,8.778122356105857,0.9
10,digits,Net_3x16_hidden,4,1.2648851316667182,0.6097887590922444,54.11111111111112,8.16352925373231,0.8777777777777778
11,digits,Net_3x16_hidden,8,0.9508864138887374,0.2370587446108837,63.138888888888886,3.6844476276624767,1.0
12,digits,Net_4x16_hidden,0,77.2327903205554,72.8897931423995,44.388888888888886,3.3273093715975657,1.0
13,digits,Net_4x16_hidden,2,2.303563984444513,7.186979887577958,63.18888888888889,3.555572916624281,1.0
14,digits,Net_4x16_hidden,4,1.1760034544442737,0.6401535718736909,63.333333333333336,2.780887148615228,1.0
15,digits,Net_4x16_hidden,8,0.9238686588893568,0.1969525414542793,63.51111111111111,1.473804181508554,1.0
16,digits,Net_3x32_hidden,0,39.03177304944418,109.96556323678138,43.78333333333333,4.7799058568135,0.9944444444444444
17,digits,Net_3x32_hidden,2,18.226515142777902,56.763451185706025,51.21666666666667,9.230550122043407,1.0
18,digits,Net_3x32_hidden,4,3.873083852777361,6.726848550565248,60.45,7.4916805709919165,1.0
19,digits,Net_3x32_hidden,8,1.3752787605550516,0.5779574090341234,63.8,1.5362291495737217,1.0
